step,service_step,phase,kind,channel,x_m,y_m,before_status,after_status,before_radius_m,after_radius_m,movement_m,move_s,switch_s,operation_s,step_s,total_s,result,bearing_deg,reason,reason_explanation,unknown,found,absent,cleared
129,,处理已发现目标,measure,5,1662.8015574222168,-664.7397066582705,found,found,23.867425418515552,11.90060641288285,707.3249286590044,141.46498573180088,0,5.0,146.46498573180088,3731.4114709808578,direction,269.44,completion_measure_then_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_measure_then_clear,0,6,4,10
130,,处理已发现目标,measure,9,1662.8015574222168,-664.7397066582705,found,found,300.183780563808,17.15901896929907,0.0,0.0,1,5.0,6.0,3737.4114709808578,direction,79.59,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,6,4,10
131,,处理已发现目标,measure,16,1662.8015574222168,-664.7397066582705,found,found,415.809268400212,235.97683573183153,0.0,0.0,1,5.0,6.0,3743.4114709808578,no_signal,,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,6,4,10
132,,处理已发现目标,clear,5,1662.4765399397256,-676.6358681640502,found,cleared,11.90060641288285,,11.900600612385873,2.3801201224771744,0,5.0,7.380120122477175,3750.791591103335,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,5,4,11
133,,处理已发现目标,clear,9,1786.449910587924,10.47744532538327,found,cleared,17.15901896929907,,698.2077786764511,139.6415557352902,0,5.0,144.6415557352902,3895.4331468386254,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,4,4,12
134,,处理已发现目标,measure,16,1786.449910587924,10.47744532538327,found,found,235.97683573183153,22.037159005898754,0.0,0.0,0,5.0,5.0,3900.4331468386254,direction,99.68,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,4,4,12
135,,处理已发现目标,measure,16,1664.0270677055287,669.6579668431957,found,found,22.037159005898754,9.389980133125107,670.4523192650636,134.09046385301272,0,5.0,139.09046385301272,4039.523610691638,direction,105.45,completion_measure_then_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_measure_then_clear,0,4,4,12
136,,处理已发现目标,measure,15,1664.0270677055287,669.6579668431957,found,found,356.2395794607513,20.355392606344346,0.0,0.0,1,5.0,6.0,4045.523610691638,direction,124.07,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,4,4,12
137,,处理已发现目标,clear,16,1661.684733694121,678.7511010303986,found,cleared,9.389980133125107,,9.3899743326313,1.8779948665262602,0,5.0,6.87799486652626,4052.4016055581646,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,3,4,13
138,,处理已发现目标,measure,15,1661.684733694121,678.7511010303986,found,found,20.355392606344346,20.28419400949719,0.0,0.0,0,5.0,5.0,4057.4016055581646,direction,124.32,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,3,4,13
139,,处理已发现目标,measure,15,1252.4692979803872,1277.6974346726686,found,found,20.28419400949719,10.137684333238271,725.3922962162601,145.078459243252,0,5.0,150.078459243252,4207.480064801417,direction,344.2,completion_measure_then_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_measure_then_clear,0,3,4,13
140,,处理已发现目标,measure,19,1252.4692979803872,1277.6974346726686,found,found,318.3950318835212,21.485148187549928,0.0,0.0,1,5.0,6.0,4213.480064801417,direction,147.35,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,3,4,13
141,,处理已发现目标,clear,15,1262.1740395326592,1274.766476222453,found,cleared,10.137684333238271,,10.137678532745296,2.027535706549059,0,5.0,7.02753570654906,4220.507600507966,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,2,4,14
142,,处理已发现目标,measure,19,1262.1740395326592,1274.766476222453,found,found,21.485148187549928,21.395231113287675,0.0,0.0,0,5.0,5.0,4225.507600507966,direction,147.6,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,2,4,14
143,,处理已发现目标,measure,19,673.5593402155993,1648.8992004805268,found,found,21.395231113287675,6.74056567080409,697.4543423141623,139.49086846283245,0,5.0,144.49086846283245,4369.998468970799,direction,28.14,completion_measure_then_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_measure_then_clear,0,2,4,14
144,,处理已发现目标,clear,19,679.5579961093542,1651.9734930550085,found,cleared,6.74056567080409,,6.74055987030709,1.348111974061418,0,5.0,6.348111974061418,4376.346580944861,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,1,4,15
145,,处理已发现目标,measure,18,21.42910201711924,1789.4246970394474,found,found,21.620559870063634,10.810282835284134,672.3291416529854,134.46582833059708,1,5.0,140.46582833059708,4516.812409275458,direction,173.2,completion_measure_then_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_measure_then_clear,0,1,4,15
146,,处理已发现目标,clear,18,10.67426382340658,1790.5181068417355,found,cleared,10.810282835284134,,10.810277034779464,2.1620554069558926,0,5.0,7.162055406955893,4523.974464682414,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,0,4,16
