step,service_step,phase,kind,channel,x_m,y_m,before_status,after_status,before_radius_m,after_radius_m,movement_m,move_s,switch_s,operation_s,step_s,total_s,result,bearing_deg,reason,reason_explanation,unknown,found,absent,cleared
1,,发现未完,measure,1,0.0,0.0,unknown,found,,750.1804894073279,0.0,0.0,0,5.0,5.0,5.0,direction,1.07,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,19,1,0,0
2,,发现未完,measure,2,0.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,11.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,19,1,0,0
3,,发现未完,measure,3,0.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,17.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,19,1,0,0
4,,发现未完,measure,4,0.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,23.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,19,1,0,0
5,,发现未完,measure,5,0.0,0.0,unknown,found,,750.1838350339033,0.0,0.0,1,5.0,6.0,29.0,direction,180.72,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,18,2,0,0
6,,发现未完,measure,6,0.0,0.0,unknown,found,,750.1812122081764,0.0,0.0,1,5.0,6.0,35.0,direction,359.14,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,17,3,0,0
7,,发现未完,measure,7,0.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,41.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,17,3,0,0
8,,发现未完,measure,8,0.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,47.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,17,3,0,0
9,,发现未完,measure,9,0.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,53.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,17,3,0,0
10,,发现未完,measure,10,0.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,59.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,17,3,0,0
11,,发现未完,measure,11,0.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,65.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,17,3,0,0
12,,发现未完,measure,12,0.0,0.0,unknown,found,,750.2085944135711,0.0,0.0,1,5.0,6.0,71.0,direction,179.77,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,16,4,0,0
13,,发现未完,measure,13,0.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,77.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,16,4,0,0
14,,发现未完,measure,14,0.0,0.0,unknown,found,,750.1812122081764,0.0,0.0,1,5.0,6.0,83.0,direction,359.14,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,15,5,0,0
15,,发现未完,measure,15,0.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,89.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,15,5,0,0
16,,发现未完,measure,16,0.0,0.0,unknown,found,,750.1809794928957,0.0,0.0,1,5.0,6.0,95.0,direction,358.87,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,14,6,0,0
17,,发现未完,measure,17,0.0,0.0,unknown,found,,750.2231719760648,0.0,0.0,1,5.0,6.0,101.0,direction,179.93,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,13,7,0,0
18,,发现未完,measure,18,0.0,0.0,unknown,found,,750.1813417494274,0.0,0.0,1,5.0,6.0,107.0,direction,179.15,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,12,8,0,0
19,,发现未完,measure,19,0.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,113.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,12,8,0,0
20,,发现未完,measure,20,0.0,0.0,unknown,found,,750.188277976263,0.0,0.0,1,5.0,6.0,119.0,direction,179.42,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,11,9,0,0
21,,发现未完,measure,2,-1200.0,1.4695761589768238e-13,unknown,unknown,,,1200.0,240.0,1,5.0,246.0,365.0,no_signal,,sweep_next_discovery_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_next_discovery_node,11,9,0,0
22,,发现未完,measure,3,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,371.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,11,9,0,0
23,,发现未完,measure,4,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,377.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,11,9,0,0
24,,发现未完,measure,7,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,383.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,11,9,0,0
25,,发现未完,measure,8,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,389.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,11,9,0,0
26,,发现未完,measure,9,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,395.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,11,9,0,0
27,,发现未完,measure,10,-1200.0,1.4695761589768238e-13,unknown,found,,105.03231230685249,0.0,0.0,1,5.0,6.0,401.0,direction,0.12,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,10,10,0,0
28,,发现未完,measure,11,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,407.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,10,10,0,0
29,,发现未完,measure,13,-1200.0,1.4695761589768238e-13,unknown,found,,300.18196014611135,0.0,0.0,1,5.0,6.0,413.0,direction,180.99,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,9,11,0,0
30,,发现未完,measure,15,-1200.0,1.4695761589768238e-13,unknown,unknown,,,0.0,0.0,1,5.0,6.0,419.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,9,11,0,0
31,,发现未完,measure,19,-1200.0,1.4695761589768238e-13,unknown,found,,105.0323123068523,0.0,0.0,1,5.0,6.0,425.0,direction,2.38,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,8,12,0,0
32,,发现未完,measure,18,-1200.0,1.4695761589768238e-13,found,found,750.1813417494274,147.6218637585368,0.0,0.0,1,5.0,6.0,431.0,direction,358.52,sweep_shared_known_probe,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_shared_known_probe,8,12,0,0
33,,发现未完,measure,5,-1200.0,1.4695761589768238e-13,found,found,750.1838350339033,450.0014771384455,0.0,0.0,1,5.0,6.0,437.0,direction,1.1,sweep_shared_known_probe,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_shared_known_probe,8,12,0,0
34,,发现未完,measure,20,-1200.0,1.4695761589768238e-13,found,found,750.188277976263,105.03231230685242,0.0,0.0,1,5.0,6.0,443.0,no_signal,,sweep_shared_known_probe,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_shared_known_probe,8,12,0,0
35,,发现未完,measure,12,-1200.0,1.4695761589768238e-13,found,found,750.2085944135711,105.03231235642907,0.0,0.0,1,5.0,6.0,449.0,no_signal,,sweep_shared_known_probe,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_shared_known_probe,8,12,0,0
36,,发现未完,measure,17,-1200.0,1.4695761589768238e-13,found,found,750.2231719760648,105.03231230685236,0.0,0.0,1,5.0,6.0,455.0,no_signal,,sweep_shared_known_probe,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_shared_known_probe,8,12,0,0
37,,发现未完,measure,2,-600.0000000000006,-1039.2304845413262,unknown,unknown,,,1199.9999999999998,239.99999999999994,1,5.0,245.99999999999994,701.0,no_signal,,sweep_next_discovery_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_next_discovery_node,8,12,0,0
38,,发现未完,measure,3,-600.0000000000006,-1039.2304845413262,unknown,unknown,,,0.0,0.0,1,5.0,6.0,707.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,8,12,0,0
39,,发现未完,measure,4,-600.0000000000006,-1039.2304845413262,unknown,unknown,,,0.0,0.0,1,5.0,6.0,713.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,8,12,0,0
40,,发现未完,measure,7,-600.0000000000006,-1039.2304845413262,unknown,unknown,,,0.0,0.0,1,5.0,6.0,719.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,8,12,0,0
41,,发现未完,measure,8,-600.0000000000006,-1039.2304845413262,unknown,unknown,,,0.0,0.0,1,5.0,6.0,725.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,8,12,0,0
42,,发现未完,measure,9,-600.0000000000006,-1039.2304845413262,unknown,unknown,,,0.0,0.0,1,5.0,6.0,731.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,8,12,0,0
43,,发现未完,measure,11,-600.0000000000006,-1039.2304845413262,unknown,unknown,,,0.0,0.0,1,5.0,6.0,737.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,8,12,0,0
44,,发现未完,measure,15,-600.0000000000006,-1039.2304845413262,unknown,unknown,,,0.0,0.0,1,5.0,6.0,743.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,8,12,0,0
45,,发现未完,measure,15,600.0000000000001,-1039.2304845413264,unknown,unknown,,,1200.0000000000007,240.00000000000014,0,5.0,245.00000000000014,988.0000000000001,no_signal,,sweep_next_discovery_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_next_discovery_node,8,12,0,0
46,,发现未完,measure,2,600.0000000000001,-1039.2304845413264,unknown,unknown,,,0.0,0.0,1,5.0,6.0,994.0000000000001,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,8,12,0,0
47,,发现未完,measure,3,600.0000000000001,-1039.2304845413264,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1000.0000000000001,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,8,12,0,0
48,,发现未完,measure,4,600.0000000000001,-1039.2304845413264,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1006.0000000000001,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,8,12,0,0
49,,发现未完,measure,7,600.0000000000001,-1039.2304845413264,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1012.0000000000001,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,8,12,0,0
50,,发现未完,measure,8,600.0000000000001,-1039.2304845413264,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1018.0000000000001,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,8,12,0,0
51,,发现未完,measure,9,600.0000000000001,-1039.2304845413264,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1024.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,8,12,0,0
52,,发现未完,measure,11,600.0000000000001,-1039.2304845413264,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1030.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,8,12,0,0
53,,发现未完,measure,11,1200.0,0.0,unknown,unknown,,,1200.0,240.0,0,5.0,245.0,1275.0,no_signal,,sweep_next_discovery_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_next_discovery_node,8,12,0,0
54,,发现未完,measure,2,1200.0,0.0,unknown,found,,300.1035223623528,0.0,0.0,1,5.0,6.0,1281.0,direction,0.35,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,7,13,0,0
55,,发现未完,measure,3,1200.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1287.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,7,13,0,0
56,,发现未完,measure,4,1200.0,0.0,unknown,unknown,,,0.0,0.0,1,5.0,6.0,1293.0,no_signal,,sweep_unknown_at_node,按冻结策略理由代码执行；未从日志补造未记录的评分：sweep_unknown_at_node,7,13,0,0
