step,service_step,phase,kind,channel,x_m,y_m,before_status,after_status,before_radius_m,after_radius_m,movement_m,move_s,switch_s,operation_s,step_s,total_s,result,bearing_deg,reason,reason_explanation,unknown,found,absent,cleared
92,,处理已发现目标,measure,16,-990.4873185540606,150.85374103713428,found,found,77.24167573313348,4.611189199757085,0.0,0.0,1,5.0,6.0,2183.0817955760563,direction,245.27,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,11,9,0
93,,处理已发现目标,measure,13,-990.4873185540606,150.85374103713428,found,found,76.67471915832132,4.613212376745716,0.0,0.0,1,5.0,6.0,2189.0817955760563,direction,256.96,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,11,9,0
94,,处理已发现目标,clear,9,-1027.6544687565543,76.3853864948347,found,cleared,7.089418387698516,,83.22819764005679,16.64563952801136,0,5.0,21.64563952801136,2210.727435104068,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,10,9,1
95,,处理已发现目标,measure,6,-1027.6544687565543,76.3853864948347,found,found,31.842543461345297,28.01286131718512,0.0,0.0,1,5.0,6.0,2216.727435104068,direction,357.83,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,10,9,1
96,,处理已发现目标,clear,16,-1074.2217027769884,-30.8216271575618,found,cleared,4.611189199757085,,116.88392130904495,23.37678426180899,0,5.0,28.37678426180899,2245.104219365877,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,9,9,2
97,,处理已发现目标,clear,13,-1034.9717459860753,-41.454611689368775,found,cleared,4.613212376745716,,40.664720190137665,8.132944038027533,0,5.0,13.132944038027533,2258.2371634039046,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,8,9,3
98,,处理已发现目标,measure,6,-1034.9717459860753,-41.454611689368775,found,found,28.01286131718512,22.802648947571033,0.0,0.0,0,5.0,5.0,2263.2371634039046,direction,4.94,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,8,9,3
99,,处理已发现目标,clear,7,-1085.8547331261893,-73.63255989693121,found,cleared,5.315392532824128,,60.203809938820115,12.040761987764023,0,4.999999999999998,17.04076198776402,2280.2779253916688,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,7,9,4
100,,处理已发现目标,measure,6,-49.3613659846441,41.485193210804404,found,found,22.802648947571033,11.196551527888579,1042.8665289522871,208.57330579045743,0,5.0,213.57330579045743,2493.851231182126,direction,140.79,completion_measure_then_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_measure_then_clear,0,7,9,4
101,,处理已发现目标,measure,18,-49.3613659846441,41.485193210804404,found,found,600.0000030005845,346.27973847230606,0.0,0.0,1,5.0,6.0,2499.851231182126,direction,357.62,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,7,9,4
